area_nr,fama,bt,altit,exp,north,east,sl_deg,pH_H2O,total_cov,tree_height,tree_cov,tree_rich,shrub_height,shrub_cov,shrub_rich,herb_height,herb_cov,herb_rich
A02,A,both,NA,NA,NA,NA,NA,NA,92,14,40,3,2.3,5,7,NA,NA,NA
A03,A,both,NA,NA,NA,NA,NA,NA,90,0,0,0,3,3,5,NA,NA,NA
A04,A,both,NA,NA,NA,NA,NA,NA,55,22,6,3,0.8,0.5,1,NA,NA,NA
A05,A,both,NA,NA,NA,NA,NA,NA,70,20,4,1,3.5,5,5,NA,NA,NA
A06,A,both,NA,NA,NA,NA,NA,NA,95,11,3,2,3,9,9,NA,NA,NA
A07,A,both,NA,NA,NA,NA,NA,NA,75,20,20,4,3.5,24,15,NA,NA,NA
A08,A,both,NA,NA,NA,NA,NA,NA,30,25,10,4,2.6,18,14,NA,NA,NA
B02,B,both,NA,NA,NA,NA,NA,NA,85,9,4,4,4.5,5,10,NA,NA,NA
B03,B,both,NA,NA,NA,NA,NA,NA,60,12,5,3,4.5,22,9,NA,NA,NA
B04,B,both,NA,NA,NA,NA,NA,NA,40,4.2,5,3,1.8,4,5,NA,NA,NA
B05,B,both,NA,NA,NA,NA,NA,NA,65,22,3,3,2.5,5,6,NA,NA,NA
B06,B,both,NA,NA,NA,NA,NA,NA,80,12,3,3,2,5,10,NA,NA,NA
B07,B,both,NA,NA,NA,NA,NA,NA,25,12,10,4,2.3,8,8,NA,NA,NA
B08,B,both,NA,NA,NA,NA,NA,NA,20,10,12,6,1.5,7,9,NA,NA,NA
B09,B,both,NA,NA,NA,NA,NA,NA,40,8,10,4,1.6,13,10,NA,NA,NA
C01,C,both,NA,NA,NA,NA,NA,NA,90,12,5,2,6,5,3,NA,NA,NA
C02,C,both,NA,NA,NA,NA,NA,NA,55,21,8,2,3,4.5,5,NA,NA,NA
C03,C,both,NA,NA,NA,NA,NA,NA,60,0,0,0,0,0,0,NA,NA,NA
C04,C,both,NA,NA,NA,NA,NA,NA,60,0,0,0,2.6,0.5,1,NA,NA,NA
C05,C,both,NA,NA,NA,NA,NA,NA,60,10,3,1,0,0,0,NA,NA,NA
C07,C,both,NA,NA,NA,NA,NA,NA,70,7,5,1,2,5,3,NA,NA,NA
C08,C,both,NA,NA,NA,NA,NA,NA,80,22,2,2,5,9,9,NA,NA,NA
C09,C,both,NA,NA,NA,NA,NA,NA,35,21,10,3,6,15,8,NA,NA,NA
